"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","45","Получить список заданий get /challenges @API","chromium","Mon Nov 04 19:08:48 GMT 2024","failed","Mon Nov 04 19:08:48 GMT 2024","API challenge v3","","",""
"","679","Basic screenshot page with mask","chromium","Mon Nov 04 19:09:01 GMT 2024","failed","Mon Nov 04 19:09:02 GMT 2024","Visual","","",""
"","185","Проверить цвет логотипа","chromium","Mon Nov 04 19:08:50 GMT 2024","passed","Mon Nov 04 19:08:51 GMT 2024","CSS","","",""
"","812","Пользователь может изменить bio. Page Object - middle version","chromium","Mon Nov 04 19:08:54 GMT 2024","passed","Mon Nov 04 19:08:55 GMT 2024","Page Object ","","",""
"","529","Basic crop screenshot page","chromium","Mon Nov 04 19:08:57 GMT 2024","failed","Mon Nov 04 19:08:58 GMT 2024","Visual","","",""
"","78","Получить список заданий get /challenges","chromium","Mon Nov 04 19:08:48 GMT 2024","passed","Mon Nov 04 19:08:48 GMT 2024","API challenge","","",""
"","312","mocks a fruit and doesn't call api","chromium","Mon Nov 04 19:08:46 GMT 2024","passed","Mon Nov 04 19:08:46 GMT 2024","","","",""
"","785","Basic full screenshot page","chromium","Mon Nov 04 19:08:56 GMT 2024","failed","Mon Nov 04 19:08:57 GMT 2024","Visual","","",""
"","606","Basic screenshot page","chromium","Mon Nov 04 19:08:55 GMT 2024","failed","Mon Nov 04 19:08:55 GMT 2024","Visual","","",""
"","5907","Пользователь может изменить bio. Page Object - junior version","Web interface","Mon Nov 04 19:08:39 GMT 2024","failed","Mon Nov 04 19:08:45 GMT 2024","Authentication","Essential features","",""
"","624","Basic screenshot page with mock","chromium","Mon Nov 04 19:09:02 GMT 2024","failed","Mon Nov 04 19:09:03 GMT 2024","Visual","","",""
"","778","Две фикстуры","chromium","Mon Nov 04 19:08:52 GMT 2024","passed","Mon Nov 04 19:08:53 GMT 2024","Builder","","",""
"","833","Пользователь может изменить bio. Page Object - junior version","chromium","Mon Nov 04 19:08:49 GMT 2024","passed","Mon Nov 04 19:08:50 GMT 2024","Builder","","",""
"","573","Basic screenshot element","chromium","Mon Nov 04 19:08:58 GMT 2024","failed","Mon Nov 04 19:08:59 GMT 2024","Visual","","",""
"","808","Пользователь может изменить bio. Page Object - junior version","chromium","Mon Nov 04 19:08:53 GMT 2024","passed","Mon Nov 04 19:08:54 GMT 2024","Page Object ","","",""
"","851","Basic screenshot element with","chromium","Mon Nov 04 19:08:59 GMT 2024","failed","Mon Nov 04 19:09:00 GMT 2024","Visual","","",""
"","682","Basic screenshot page with one mock","chromium","Mon Nov 04 19:09:03 GMT 2024","failed","Mon Nov 04 19:09:04 GMT 2024","Visual","","",""
"","792","Пользователь может изменить bio. Page Object - junior version","chromium","Mon Nov 04 19:08:51 GMT 2024","passed","Mon Nov 04 19:08:52 GMT 2024","Builder","","",""
"","47","Получить список заданий get /challenges @API","chromium","Mon Nov 04 19:08:46 GMT 2024","passed","Mon Nov 04 19:08:46 GMT 2024","API challenge v2","","",""
"","57","Отредактировать задание PUT /todos/{id}","chromium","Mon Nov 04 19:08:48 GMT 2024","passed","Mon Nov 04 19:08:48 GMT 2024","API challenge","","",""
"","778","Пользователь может изменить bio. Page Object - junior version","chromium","Mon Nov 04 19:08:51 GMT 2024","passed","Mon Nov 04 19:08:51 GMT 2024","Builder","","",""
